a,b,c,radical,support_vertices,covering_faces,zero_defect_cover,min_raw_defect,raw_face,raw_ratio,min_scalar_unmatched,scalar_face,scalar_ratio,min_monotone_unmatched,flow_face,flow_ratio,family,index
17689,78216336,78234025,5201974470,9,364,False,8845,"C:5^2,C:29^2,C:61^2",0.40619900245875995,0.0,"A:7^2,A:19^2,B:2^4,B:3^2,B:11^2",0.0,0.0,"A:7^2,A:19^2,B:2^4,B:3^2,B:11^2",0.0,pythagorean,66
18225,83028544,83046769,311391210,7,86,False,9113,"C:13^2,C:701^2",0.4662096488143298,0.0,"A:3^6,B:2^6,B:67^2",0.0,0.0,"A:3^6,B:2^6,B:67^2",0.0,pythagorean,67
18769,88059456,88078225,3016357770,7,86,False,9385,"C:5^2,C:1877^2",0.41905601170679624,0.0,"A:137^2,B:2^6,B:17^2",0.0,0.0,"A:137^2,B:2^6,B:17^2",0.0,pythagorean,68
19321,93315600,93334921,6486105570,7,82,False,9661,C:9661^2,0.40613825672595616,0.0,"A:139^2,B:2^4,B:3^2,B:7^2",0.0,0.0,"A:139^2,B:2^4,B:3^2,B:7^2",0.0,pythagorean,69
19881,98803600,98823481,6966354570,7,81,False,9941,C:9941^2,0.40611884685657706,0.0,"A:3^2,A:47^2,B:2^4,B:5^2,B:7^2",0.0,0.0,"A:3^2,A:47^2,B:2^4,B:5^2,B:7^2",0.0,pythagorean,70
20449,104530176,104550625,124577310,7,87,False,29039,"B:71^2,C:409^2",0.5512958203862065,0.0,"C:5^4,C:409^2",0.0,0.22589069915275406,"A:11^2,B:2^8,B:71^2",0.012118315606407455,pythagorean,71
21025,110502144,110523169,667680630,6,41,False,10513,C:10513^2,0.45574200462080167,0.0,"A:5^2,A:29^2,B:2^8,B:3^4",0.0,0.0,"A:5^2,A:29^2,B:2^8,B:3^4",0.0,pythagorean,72
21609,116726416,116748025,1225740810,7,84,False,10805,"C:5^2,C:2161^2",0.44382128562123124,0.0,"A:3^2,A:7^4,B:2^4,B:37^2",0.0,0.0,"A:3^2,A:7^4,B:2^4,B:37^2",0.0,pythagorean,73
22201,123210000,123232201,1835994390,7,87,False,11101,"C:17^2,C:653^2",0.4366815934590731,0.0,"A:149^2,B:2^4,B:5^4",0.0,0.0,"A:149^2,B:2^4,B:5^4",0.0,pythagorean,74
22801,129960000,129982801,981284070,7,86,False,11401,"C:13^2,C:877^2",0.4511827793096751,0.0,"A:151^2,B:2^6,B:5^4",0.0,0.0,"A:151^2,B:2^6,B:5^4",0.0,pythagorean,75
23409,136983616,137007025,1746690330,8,169,False,11705,"C:5^2,C:2341^2",0.44019437059729427,0.0,"A:3^4,A:17^2,B:2^6,B:11^2",0.0,0.0,"A:3^4,A:17^2,B:2^6,B:11^2",0.0,pythagorean,76
24025,144288144,144312169,11183262090,9,359,False,12013,"C:41^2,C:293^2",0.4059932990268598,0.0,"A:5^2,A:31^2,B:2^4,B:3^2,B:7^2",0.0,0.0,"A:5^2,A:31^2,B:2^4,B:3^2,B:7^2",0.0,pythagorean,77
24649,151880976,151905625,2384724810,8,179,False,12403,"A:157^2,B:79^2",0.43652931918454413,0.0,"A:157^2,B:2^4,B:3^2,B:13^2",0.0,0.0,"B:2^4,B:3^2,B:79^2,C:5^4",0.0,pythagorean,78
25281,159769600,159794881,1587836010,6,40,False,12641,C:12641^2,0.4458067683119297,0.0,"A:3^2,A:53^2,B:2^10,B:5^2",0.0,0.0,"A:3^2,A:53^2,B:2^10,B:5^2",0.0,pythagorean,79
25921,167961600,167987521,62601630,7,87,False,12961,"C:13^2,C:997^2",0.5274922510689982,0.9870983807767555,"C:13^2,C:997^2",0.054984502137996244,1.2197647694313603,"A:7^2,B:2^10,B:5^2,C:13^2",0.06794475594203149,pythagorean,80
