family,parameters,a,b,c,factorization_c,source_capacities,sink_primes,source_count,sink_count,residual_numerator,residual_denominator,scalar_numerator,scalar_denominator,fragmentation_numerator,fragmentation_denominator,conductor,coarse_ratio_floor,assignment,assigned_packet_products,optimal_capped_reward_product,source_capacity_product
unit_prime_square,p=809,1,654480,654481,809^2,809:809,2;3;5;101,1,4,1,1,1,1,1,1,2451270,0,2->809;3->809;5->809;101->809,809:3030,809,809
unit_prime_square,p=811,1,657720,657721,811^2,811:811,2;3;5;7;29,1,5,1,1,1,1,1,1,4938990,0,2->811;3->811;5->811;7->811;29->811,811:6090,811,811
unit_prime_square,p=821,1,674040,674041,821^2,821:821,2;3;5;41;137,1,5,1,1,1,1,1,1,138346710,0,2->821;3->821;5->821;41->821;137->821,821:168510,821,821
unit_prime_square,p=823,1,677328,677329,823^2,823:823,2;3;103;137,1,4,1,1,1,1,1,1,69680118,0,2->823;3->823;103->823;137->823,823:84666,823,823
unit_prime_square,p=827,1,683928,683929,827^2,827:827,2;3;7;23;59,1,5,1,1,1,1,1,1,47134038,0,2->827;3->827;7->827;23->827;59->827,827:56994,827,827
unit_prime_square,p=829,1,687240,687241,829^2,829:829,2;3;5;23;83,1,5,1,1,1,1,1,1,47476830,0,2->829;3->829;5->829;23->829;83->829,829:57270,829,829
unit_prime_square,p=839,1,703920,703921,839^2,839:839,2;3;5;7;419,1,5,1,1,1,1,1,1,73823610,0,2->839;3->839;5->839;7->839;419->839,839:87990,839,839
unit_prime_square,p=853,1,727608,727609,853^2,853:853,2;3;7;61;71,1,5,1,1,1,1,1,1,155162406,0,2->853;3->853;7->853;61->853;71->853,853:181902,853,853
unit_prime_square,p=857,1,734448,734449,857^2,857:857,2;3;11;13;107,1,5,1,1,1,1,1,1,78677742,0,2->857;3->857;11->857;13->857;107->857,857:91806,857,857
unit_prime_square,p=859,1,737880,737881,859^2,859:859,2;3;5;11;13;43,1,6,1,1,1,1,1,1,158459730,0,2->859;3->859;5->859;11->859;13->859;43->859,859:184470,859,859
unit_prime_square,p=863,1,744768,744769,863^2,863:863,2;3;431,1,3,1,1,1,1,1,1,2231718,0,2->863;3->863;431->863,863:2586,863,863
unit_prime_square,p=877,1,769128,769129,877^2,877:877,2;3;73;439,1,4,1,1,1,1,1,1,168631314,0,2->877;3->877;73->877;439->877,877:192282,877,877
unit_prime_square,p=881,1,776160,776161,881^2,881:881,2;3;5;7;11,1,5,1,1,1,1,1,1,2035110,0,2->881;3->881;5->881;7->881;11->881,881:2310,881,881
unit_prime_square,p=883,1,779688,779689,883^2,883:883,2;3;7;13;17,1,5,1,1,1,1,1,1,8196006,0,2->883;3->883;7->883;13->883;17->883,883:9282,883,883
unit_prime_square,p=887,1,786768,786769,887^2,887:887,2;3;37;443,1,4,1,1,1,1,1,1,87232902,0,2->887;3->887;37->887;443->887,887:98346,887,887
unit_prime_square,p=907,1,822648,822649,907^2,907:907,2;3;151;227,1,4,1,1,1,1,1,1,186535434,0,2->907;3->907;151->907;227->907,907:205662,907,907
unit_prime_square,p=911,1,829920,829921,911^2,911:911,2;3;5;7;13;19,1,6,1,1,1,1,1,1,47253570,0,2->911;3->911;5->911;7->911;13->911;19->911,911:51870,911,911
unit_prime_square,p=919,1,844560,844561,919^2,919:919,2;3;5;17;23,1,5,1,1,1,1,1,1,10779870,0,2->919;3->919;5->919;17->919;23->919,919:11730,919,919
unit_prime_square,p=929,1,863040,863041,929^2,929:929,2;3;5;29;31,1,5,1,1,1,1,1,1,25055130,0,2->929;3->929;5->929;29->929;31->929,929:26970,929,929
